ARABIC LIGATURE TEH WITH JEEM INITIAL FORM;;FCA1;;ﲡ;;FCA1
ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM;;FD50;;ﵐ;;FD50
ARABIC LIGATURE TEH WITH JEEM WITH ALEF MAKSURA FINAL FORM;;FDA0;;ﶠ;;FDA0
ARABIC LIGATURE TEH WITH JEEM WITH YEH FINAL FORM;;FD9F;;ﶟ;;FD9F
ARABIC LIGATURE TEH WITH HAH ISOLATED FORM;;FC0C;;ﰌ;;FC0C
ARABIC LIGATURE TEH WITH HAH INITIAL FORM;;FCA2;;ﲢ;;FCA2
ARABIC LIGATURE TEH WITH HAH WITH JEEM FINAL FORM;;FD51;;ﵑ;;FD51
ARABIC LIGATURE TEH WITH HAH WITH JEEM INITIAL FORM;;FD52;;ﵒ;;FD52
ARABIC LIGATURE TEH WITH HAH WITH MEEM INITIAL FORM;;FD53;;ﵓ;;FD53
ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM;;FC0D;;ﰍ;;FC0D
ARABIC LIGATURE TEH WITH KHAH INITIAL FORM;;FCA3;;ﲣ;;FCA3
ARABIC LIGATURE TEH WITH KHAH WITH MEEM INITIAL FORM;;FD54;;ﵔ;;FD54
ARABIC LIGATURE TEH WITH KHAH WITH ALEF MAKSURA FINAL FORM;;FDA2;;ﶢ;;FDA2
ARABIC LIGATURE TEH WITH KHAH WITH YEH FINAL FORM;;FDA1;;ﶡ;;FDA1
ARABIC LIGATURE TEH WITH REH FINAL FORM;;FC70;;ﱰ;;FC70
ARABIC LIGATURE TEH WITH ZAIN FINAL FORM;;FC71;;ﱱ;;FC71
ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM;;FC0E;;ﰎ;;FC0E
ARABIC LIGATURE TEH WITH MEEM FINAL FORM;;FC72;;ﱲ;;FC72
ARABIC LIGATURE TEH WITH MEEM INITIAL FORM;;FCA4;;ﲤ;;FCA4
ARABIC LIGATURE TEH WITH MEEM MEDIAL FORM;;FCE3;;ﳣ;;FCE3
ARABIC LIGATURE TEH WITH MEEM WITH JEEM INITIAL FORM;;FD55;;ﵕ;;FD55
ARABIC LIGATURE TEH WITH MEEM WITH HAH INITIAL FORM;;FD56;;ﵖ;;FD56
ARABIC LIGATURE TEH WITH MEEM WITH KHAH INITIAL FORM;;FD57;;ﵗ;;FD57
ARABIC LIGATURE TEH WITH MEEM WITH ALEF MAKSURA FINAL FORM;;FDA4;;ﶤ;;FDA4
ARABIC LIGATURE TEH WITH MEEM WITH YEH FINAL FORM;;FDA3;;ﶣ;;FDA3
ARABIC LIGATURE TEH WITH NOON FINAL FORM;;FC73;;ﱳ;;FC73
ARABIC LIGATURE TEH WITH HEH INITIAL FORM;;FCA5;;ﲥ;;FCA5
ARABIC LIGATURE TEH WITH HEH MEDIAL FORM;;FCE4;;ﳤ;;FCE4
ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM;;FC0F;;ﰏ;;FC0F
ARABIC LIGATURE TEH WITH ALEF MAKSURA FINAL FORM;;FC74;;ﱴ;;FC74
ARABIC LIGATURE TEH WITH YEH ISOLATED FORM;;FC10;;ﰐ;;FC10
ARABIC LIGATURE TEH WITH YEH FINAL FORM;;FC75;;ﱵ;;FC75
ARABIC LETTER THEH ISOLATED FORM;;FE99;;ﺙ;;FE99
ARABIC LETTER THEH FINAL FORM;;FE9A;;ﺚ;;FE9A
ARABIC LETTER THEH INITIAL FORM;;FE9B;;ﺛ;;FE9B
ARABIC LETTER THEH MEDIAL FORM;;FE9C;;ﺜ;;FE9C
ARABIC MATHEMATICAL THEH;;1EE16;;𞸖;;1EE16
ARABIC MATHEMATICAL INITIAL THEH;;1EE36;;𞸶;;1EE36
ARABIC MATHEMATICAL STRETCHED THEH;;1EE76;;𞹶;;1EE76
ARABIC MATHEMATICAL LOOPED THEH;;1EE96;;𞺖;;1EE96
ARABIC MATHEMATICAL DOUBLE-STRUCK THEH;;1EEB6;;𞺶;;1EEB6
ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM;;FC11;;ﰑ;;FC11
ARABIC LIGATURE THEH WITH REH FINAL FORM;;FC76;;ﱶ;;FC76
ARABIC LIGATURE THEH WITH ZAIN FINAL FORM;;FC77;;ﱷ;;FC77
ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM;;FC12;;ﰒ;;FC12
ARABIC LIGATURE THEH WITH MEEM FINAL FORM;;FC78;;ﱸ;;FC78
ARABIC LIGATURE THEH WITH MEEM INITIAL FORM;;FCA6;;ﲦ;;FCA6
ARABIC LIGATURE THEH WITH MEEM MEDIAL FORM;;FCE5;;ﳥ;;FCE5
ARABIC LIGATURE THEH WITH NOON FINAL FORM;;FC79;;ﱹ;;FC79
ARABIC LIGATURE THEH WITH HEH MEDIAL FORM;;FCE6;;ﳦ;;FCE6
ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM;;FC13;;ﰓ;;FC13
